Event,Stage,From,To,Type,Points
kyiv-2017,first-semi-final,albania,Portugal,Televoting,12
kyiv-2017,first-semi-final,albania,Sweden,Televoting,10
kyiv-2017,first-semi-final,albania,Belgium,Televoting,8
kyiv-2017,first-semi-final,albania,Moldova,Televoting,7
kyiv-2017,first-semi-final,albania,Greece,Televoting,6
kyiv-2017,first-semi-final,albania,Finland,Televoting,5
kyiv-2017,first-semi-final,albania,Iceland,Televoting,4
kyiv-2017,first-semi-final,albania,Cyprus,Televoting,3
kyiv-2017,first-semi-final,albania,Poland,Televoting,2
kyiv-2017,first-semi-final,albania,Australia,Televoting,1
kyiv-2017,first-semi-final,albania,Moldova,Jury,12
kyiv-2017,first-semi-final,albania,Armenia,Jury,10
kyiv-2017,first-semi-final,albania,Greece,Jury,8
kyiv-2017,first-semi-final,albania,Azerbaijan,Jury,7
kyiv-2017,first-semi-final,albania,Portugal,Jury,6
kyiv-2017,first-semi-final,albania,Australia,Jury,5
kyiv-2017,first-semi-final,albania,Sweden,Jury,4
kyiv-2017,first-semi-final,albania,Belgium,Jury,3
kyiv-2017,first-semi-final,albania,Poland,Jury,2
kyiv-2017,first-semi-final,albania,Georgia,Jury,1
kyiv-2017,first-semi-final,armenia,Cyprus,Televoting,12
kyiv-2017,first-semi-final,armenia,Moldova,Televoting,10
kyiv-2017,first-semi-final,armenia,Georgia,Televoting,8
kyiv-2017,first-semi-final,armenia,Portugal,Televoting,7
kyiv-2017,first-semi-final,armenia,Belgium,Televoting,6
kyiv-2017,first-semi-final,armenia,Greece,Televoting,5
kyiv-2017,first-semi-final,armenia,Sweden,Televoting,4
kyiv-2017,first-semi-final,armenia,Australia,Televoting,3
kyiv-2017,first-semi-final,armenia,Poland,Televoting,2
kyiv-2017,first-semi-final,armenia,Montenegro,Televoting,1
kyiv-2017,first-semi-final,armenia,Cyprus,Jury,12
kyiv-2017,first-semi-final,armenia,Greece,Jury,10
kyiv-2017,first-semi-final,armenia,Moldova,Jury,8
kyiv-2017,first-semi-final,armenia,Portugal,Jury,7
kyiv-2017,first-semi-final,armenia,Georgia,Jury,6
kyiv-2017,first-semi-final,armenia,Sweden,Jury,5
kyiv-2017,first-semi-final,armenia,Czech Republic,Jury,4
kyiv-2017,first-semi-final,armenia,Iceland,Jury,3
kyiv-2017,first-semi-final,armenia,Poland,Jury,2
kyiv-2017,first-semi-final,armenia,Australia,Jury,1
kyiv-2017,first-semi-final,australia,Moldova,Televoting,12
kyiv-2017,first-semi-final,australia,Portugal,Televoting,10
kyiv-2017,first-semi-final,australia,Sweden,Televoting,8
kyiv-2017,first-semi-final,australia,Montenegro,Televoting,7
kyiv-2017,first-semi-final,australia,Cyprus,Televoting,6
kyiv-2017,first-semi-final,australia,Armenia,Televoting,5
kyiv-2017,first-semi-final,australia,Belgium,Televoting,4
kyiv-2017,first-semi-final,australia,Greece,Televoting,3
kyiv-2017,first-semi-final,australia,Finland,Televoting,2
kyiv-2017,first-semi-final,australia,Azerbaijan,Televoting,1
kyiv-2017,first-semi-final,australia,Poland,Jury,12
kyiv-2017,first-semi-final,australia,Moldova,Jury,10
kyiv-2017,first-semi-final,australia,Sweden,Jury,8
kyiv-2017,first-semi-final,australia,Finland,Jury,7
kyiv-2017,first-semi-final,australia,Portugal,Jury,6
kyiv-2017,first-semi-final,australia,Armenia,Jury,5
kyiv-2017,first-semi-final,australia,Czech Republic,Jury,4
kyiv-2017,first-semi-final,australia,Azerbaijan,Jury,3
kyiv-2017,first-semi-final,australia,Iceland,Jury,2
kyiv-2017,first-semi-final,australia,Greece,Jury,1
kyiv-2017,first-semi-final,azerbaijan,Georgia,Televoting,12
kyiv-2017,first-semi-final,azerbaijan,Moldova,Televoting,10
kyiv-2017,first-semi-final,azerbaijan,Portugal,Televoting,8
kyiv-2017,first-semi-final,azerbaijan,Belgium,Televoting,7
kyiv-2017,first-semi-final,azerbaijan,Sweden,Televoting,6
kyiv-2017,first-semi-final,azerbaijan,Montenegro,Televoting,5
kyiv-2017,first-semi-final,azerbaijan,Latvia,Televoting,4
kyiv-2017,first-semi-final,azerbaijan,Albania,Televoting,3
kyiv-2017,first-semi-final,azerbaijan,Australia,Televoting,2
kyiv-2017,first-semi-final,azerbaijan,Poland,Televoting,1
kyiv-2017,first-semi-final,azerbaijan,Portugal,Jury,12
kyiv-2017,first-semi-final,azerbaijan,Albania,Jury,10
kyiv-2017,first-semi-final,azerbaijan,Montenegro,Jury,8
kyiv-2017,first-semi-final,azerbaijan,Australia,Jury,7
kyiv-2017,first-semi-final,azerbaijan,Georgia,Jury,6
kyiv-2017,first-semi-final,azerbaijan,Moldova,Jury,5
kyiv-2017,first-semi-final,azerbaijan,Czech Republic,Jury,4
kyiv-2017,first-semi-final,azerbaijan,Poland,Jury,3
kyiv-2017,first-semi-final,azerbaijan,Iceland,Jury,2
kyiv-2017,first-semi-final,azerbaijan,Latvia,Jury,1
kyiv-2017,first-semi-final,belgium,Portugal,Televoting,12
kyiv-2017,first-semi-final,belgium,Moldova,Televoting,10
kyiv-2017,first-semi-final,belgium,Poland,Televoting,8
kyiv-2017,first-semi-final,belgium,Armenia,Televoting,7
kyiv-2017,first-semi-final,belgium,Greece,Televoting,6
kyiv-2017,first-semi-final,belgium,Sweden,Televoting,5
kyiv-2017,first-semi-final,belgium,Cyprus,Televoting,4
kyiv-2017,first-semi-final,belgium,Finland,Televoting,3
kyiv-2017,first-semi-final,belgium,Slovenia,Televoting,2
kyiv-2017,first-semi-final,belgium,Australia,Televoting,1
kyiv-2017,first-semi-final,belgium,Sweden,Jury,12
kyiv-2017,first-semi-final,belgium,Australia,Jury,10
kyiv-2017,first-semi-final,belgium,Cyprus,Jury,8
kyiv-2017,first-semi-final,belgium,Portugal,Jury,7
kyiv-2017,first-semi-final,belgium,Czech Republic,Jury,6
kyiv-2017,first-semi-final,belgium,Azerbaijan,Jury,5
kyiv-2017,first-semi-final,belgium,Poland,Jury,4
kyiv-2017,first-semi-final,belgium,Georgia,Jury,3
kyiv-2017,first-semi-final,belgium,Iceland,Jury,2
kyiv-2017,first-semi-final,belgium,Moldova,Jury,1
kyiv-2017,first-semi-final,cyprus,Greece,Televoting,12
kyiv-2017,first-semi-final,cyprus,Azerbaijan,Televoting,10
kyiv-2017,first-semi-final,cyprus,Armenia,Televoting,8
kyiv-2017,first-semi-final,cyprus,Moldova,Televoting,7
kyiv-2017,first-semi-final,cyprus,Portugal,Televoting,6
kyiv-2017,first-semi-final,cyprus,Sweden,Televoting,5
kyiv-2017,first-semi-final,cyprus,Belgium,Televoting,4
kyiv-2017,first-semi-final,cyprus,Poland,Televoting,3
kyiv-2017,first-semi-final,cyprus,Australia,Televoting,2
kyiv-2017,first-semi-final,cyprus,Georgia,Televoting,1
kyiv-2017,first-semi-final,cyprus,Greece,Jury,12
kyiv-2017,first-semi-final,cyprus,Portugal,Jury,10
kyiv-2017,first-semi-final,cyprus,Sweden,Jury,8
kyiv-2017,first-semi-final,cyprus,Australia,Jury,7
kyiv-2017,first-semi-final,cyprus,Finland,Jury,6
kyiv-2017,first-semi-final,cyprus,Armenia,Jury,5
kyiv-2017,first-semi-final,cyprus,Azerbaijan,Jury,4
kyiv-2017,first-semi-final,cyprus,Belgium,Jury,3
kyiv-2017,first-semi-final,cyprus,Poland,Jury,2
kyiv-2017,first-semi-final,cyprus,Czech Republic,Jury,1
kyiv-2017,first-semi-final,czech-republic,Azerbaijan,Televoting,12
kyiv-2017,first-semi-final,czech-republic,Moldova,Televoting,10
kyiv-2017,first-semi-final,czech-republic,Poland,Televoting,8
kyiv-2017,first-semi-final,czech-republic,Portugal,Televoting,7
kyiv-2017,first-semi-final,czech-republic,Belgium,Televoting,6
kyiv-2017,first-semi-final,czech-republic,Armenia,Televoting,5
kyiv-2017,first-semi-final,czech-republic,Cyprus,Televoting,4
kyiv-2017,first-semi-final,czech-republic,Finland,Televoting,3
kyiv-2017,first-semi-final,czech-republic,Sweden,Televoting,2
kyiv-2017,first-semi-final,czech-republic,Slovenia,Televoting,1
kyiv-2017,first-semi-final,czech-republic,Australia,Jury,12
kyiv-2017,first-semi-final,czech-republic,Sweden,Jury,10
kyiv-2017,first-semi-final,czech-republic,Poland,Jury,8
kyiv-2017,first-semi-final,czech-republic,Portugal,Jury,7
kyiv-2017,first-semi-final,czech-republic,Moldova,Jury,6
kyiv-2017,first-semi-final,czech-republic,Cyprus,Jury,5
kyiv-2017,first-semi-final,czech-republic,Azerbaijan,Jury,4
kyiv-2017,first-semi-final,czech-republic,Belgium,Jury,3
kyiv-2017,first-semi-final,czech-republic,Montenegro,Jury,2
kyiv-2017,first-semi-final,czech-republic,Finland,Jury,1
kyiv-2017,first-semi-final,finland,Portugal,Televoting,12
kyiv-2017,first-semi-final,finland,Belgium,Televoting,10
kyiv-2017,first-semi-final,finland,Moldova,Televoting,8
kyiv-2017,first-semi-final,finland,Sweden,Televoting,7
kyiv-2017,first-semi-final,finland,Cyprus,Televoting,6
kyiv-2017,first-semi-final,finland,Iceland,Televoting,5
kyiv-2017,first-semi-final,finland,Armenia,Televoting,4
kyiv-2017,first-semi-final,finland,Montenegro,Televoting,3
kyiv-2017,first-semi-final,finland,Slovenia,Televoting,2
kyiv-2017,first-semi-final,finland,Latvia,Televoting,1
kyiv-2017,first-semi-final,finland,Sweden,Jury,12
kyiv-2017,first-semi-final,finland,Portugal,Jury,10
kyiv-2017,first-semi-final,finland,Australia,Jury,8
kyiv-2017,first-semi-final,finland,Cyprus,Jury,7
kyiv-2017,first-semi-final,finland,Moldova,Jury,6
kyiv-2017,first-semi-final,finland,Iceland,Jury,5
kyiv-2017,first-semi-final,finland,Armenia,Jury,4
kyiv-2017,first-semi-final,finland,Georgia,Jury,3
kyiv-2017,first-semi-final,finland,Poland,Jury,2
kyiv-2017,first-semi-final,finland,Slovenia,Jury,1
kyiv-2017,first-semi-final,georgia,Azerbaijan,Televoting,12
kyiv-2017,first-semi-final,georgia,Armenia,Televoting,10
kyiv-2017,first-semi-final,georgia,Portugal,Televoting,8
kyiv-2017,first-semi-final,georgia,Cyprus,Televoting,7
kyiv-2017,first-semi-final,georgia,Moldova,Televoting,6
kyiv-2017,first-semi-final,georgia,Belgium,Televoting,5
kyiv-2017,first-semi-final,georgia,Sweden,Televoting,4
kyiv-2017,first-semi-final,georgia,Poland,Televoting,3
kyiv-2017,first-semi-final,georgia,Greece,Televoting,2
kyiv-2017,first-semi-final,georgia,Iceland,Televoting,1
kyiv-2017,first-semi-final,georgia,Portugal,Jury,12
kyiv-2017,first-semi-final,georgia,Azerbaijan,Jury,10
kyiv-2017,first-semi-final,georgia,Sweden,Jury,8
kyiv-2017,first-semi-final,georgia,Armenia,Jury,7
kyiv-2017,first-semi-final,georgia,Australia,Jury,6
kyiv-2017,first-semi-final,georgia,Cyprus,Jury,5
kyiv-2017,first-semi-final,georgia,Slovenia,Jury,4
kyiv-2017,first-semi-final,georgia,Moldova,Jury,3
kyiv-2017,first-semi-final,georgia,Iceland,Jury,2
kyiv-2017,first-semi-final,georgia,Czech Republic,Jury,1
kyiv-2017,first-semi-final,greece,Cyprus,Televoting,12
kyiv-2017,first-semi-final,greece,Portugal,Televoting,10
kyiv-2017,first-semi-final,greece,Armenia,Televoting,8
kyiv-2017,first-semi-final,greece,Moldova,Televoting,7
kyiv-2017,first-semi-final,greece,Georgia,Televoting,6
kyiv-2017,first-semi-final,greece,Albania,Televoting,5
kyiv-2017,first-semi-final,greece,Belgium,Televoting,4
kyiv-2017,first-semi-final,greece,Sweden,Televoting,3
kyiv-2017,first-semi-final,greece,Poland,Televoting,2
kyiv-2017,first-semi-final,greece,Finland,Televoting,1
kyiv-2017,first-semi-final,greece,Armenia,Jury,12
kyiv-2017,first-semi-final,greece,Albania,Jury,10
kyiv-2017,first-semi-final,greece,Azerbaijan,Jury,8
kyiv-2017,first-semi-final,greece,Montenegro,Jury,7
kyiv-2017,first-semi-final,greece,Cyprus,Jury,6
kyiv-2017,first-semi-final,greece,Portugal,Jury,5
kyiv-2017,first-semi-final,greece,Georgia,Jury,4
kyiv-2017,first-semi-final,greece,Moldova,Jury,3
kyiv-2017,first-semi-final,greece,Sweden,Jury,2
kyiv-2017,first-semi-final,greece,Belgium,Jury,1
kyiv-2017,first-semi-final,iceland,Portugal,Televoting,12
kyiv-2017,first-semi-final,iceland,Sweden,Televoting,10
kyiv-2017,first-semi-final,iceland,Moldova,Televoting,8
kyiv-2017,first-semi-final,iceland,Belgium,Televoting,7
kyiv-2017,first-semi-final,iceland,Australia,Televoting,6
kyiv-2017,first-semi-final,iceland,Poland,Televoting,5
kyiv-2017,first-semi-final,iceland,Cyprus,Televoting,4
kyiv-2017,first-semi-final,iceland,Finland,Televoting,3
kyiv-2017,first-semi-final,iceland,Montenegro,Televoting,2
kyiv-2017,first-semi-final,iceland,Latvia,Televoting,1
kyiv-2017,first-semi-final,iceland,Portugal,Jury,12
kyiv-2017,first-semi-final,iceland,Australia,Jury,10
kyiv-2017,first-semi-final,iceland,Sweden,Jury,8
kyiv-2017,first-semi-final,iceland,Georgia,Jury,7
kyiv-2017,first-semi-final,iceland,Azerbaijan,Jury,6
kyiv-2017,first-semi-final,iceland,Czech Republic,Jury,5
kyiv-2017,first-semi-final,iceland,Cyprus,Jury,4
kyiv-2017,first-semi-final,iceland,Finland,Jury,3
kyiv-2017,first-semi-final,iceland,Belgium,Jury,2
kyiv-2017,first-semi-final,iceland,Greece,Jury,1
kyiv-2017,first-semi-final,italy,Moldova,Televoting,12
kyiv-2017,first-semi-final,italy,Portugal,Televoting,10
kyiv-2017,first-semi-final,italy,Poland,Televoting,8
kyiv-2017,first-semi-final,italy,Albania,Televoting,7
kyiv-2017,first-semi-final,italy,Belgium,Televoting,6
kyiv-2017,first-semi-final,italy,Montenegro,Televoting,5
kyiv-2017,first-semi-final,italy,Greece,Televoting,4
kyiv-2017,first-semi-final,italy,Cyprus,Televoting,3
kyiv-2017,first-semi-final,italy,Georgia,Televoting,2
kyiv-2017,first-semi-final,italy,Sweden,Televoting,1
kyiv-2017,first-semi-final,italy,Azerbaijan,Jury,12
kyiv-2017,first-semi-final,italy,Sweden,Jury,10
kyiv-2017,first-semi-final,italy,Albania,Jury,8
kyiv-2017,first-semi-final,italy,Moldova,Jury,7
kyiv-2017,first-semi-final,italy,Armenia,Jury,6
kyiv-2017,first-semi-final,italy,Belgium,Jury,5
kyiv-2017,first-semi-final,italy,Portugal,Jury,4
kyiv-2017,first-semi-final,italy,Cyprus,Jury,3
kyiv-2017,first-semi-final,italy,Georgia,Jury,2
kyiv-2017,first-semi-final,italy,Australia,Jury,1
kyiv-2017,first-semi-final,latvia,Portugal,Televoting,12
kyiv-2017,first-semi-final,latvia,Belgium,Televoting,10
kyiv-2017,first-semi-final,latvia,Moldova,Televoting,8
kyiv-2017,first-semi-final,latvia,Sweden,Televoting,7
kyiv-2017,first-semi-final,latvia,Cyprus,Televoting,6
kyiv-2017,first-semi-final,latvia,Finland,Televoting,5
kyiv-2017,first-semi-final,latvia,Iceland,Televoting,4
kyiv-2017,first-semi-final,latvia,Poland,Televoting,3
kyiv-2017,first-semi-final,latvia,Azerbaijan,Televoting,2
kyiv-2017,first-semi-final,latvia,Armenia,Televoting,1
kyiv-2017,first-semi-final,latvia,Portugal,Jury,12
kyiv-2017,first-semi-final,latvia,Australia,Jury,10
kyiv-2017,first-semi-final,latvia,Iceland,Jury,8
kyiv-2017,first-semi-final,latvia,Czech Republic,Jury,7
kyiv-2017,first-semi-final,latvia,Moldova,Jury,6
kyiv-2017,first-semi-final,latvia,Belgium,Jury,5
kyiv-2017,first-semi-final,latvia,Armenia,Jury,4
kyiv-2017,first-semi-final,latvia,Poland,Jury,3
kyiv-2017,first-semi-final,latvia,Sweden,Jury,2
kyiv-2017,first-semi-final,latvia,Azerbaijan,Jury,1
kyiv-2017,first-semi-final,moldova,Azerbaijan,Televoting,12
kyiv-2017,first-semi-final,moldova,Albania,Televoting,10
kyiv-2017,first-semi-final,moldova,Montenegro,Televoting,8
kyiv-2017,first-semi-final,moldova,Cyprus,Televoting,7
kyiv-2017,first-semi-final,moldova,Portugal,Televoting,6
kyiv-2017,first-semi-final,moldova,Latvia,Televoting,5
kyiv-2017,first-semi-final,moldova,Armenia,Televoting,4
kyiv-2017,first-semi-final,moldova,Poland,Televoting,3
kyiv-2017,first-semi-final,moldova,Georgia,Televoting,2
kyiv-2017,first-semi-final,moldova,Sweden,Televoting,1
kyiv-2017,first-semi-final,moldova,Portugal,Jury,12
kyiv-2017,first-semi-final,moldova,Armenia,Jury,10
kyiv-2017,first-semi-final,moldova,Sweden,Jury,8
kyiv-2017,first-semi-final,moldova,Greece,Jury,7
kyiv-2017,first-semi-final,moldova,Australia,Jury,6
kyiv-2017,first-semi-final,moldova,Georgia,Jury,5
kyiv-2017,first-semi-final,moldova,Azerbaijan,Jury,4
kyiv-2017,first-semi-final,moldova,Finland,Jury,3
kyiv-2017,first-semi-final,moldova,Iceland,Jury,2
kyiv-2017,first-semi-final,moldova,Poland,Jury,1
kyiv-2017,first-semi-final,montenegro,Albania,Televoting,12
kyiv-2017,first-semi-final,montenegro,Moldova,Televoting,10
kyiv-2017,first-semi-final,montenegro,Slovenia,Televoting,8
kyiv-2017,first-semi-final,montenegro,Portugal,Televoting,7
kyiv-2017,first-semi-final,montenegro,Azerbaijan,Televoting,6
kyiv-2017,first-semi-final,montenegro,Cyprus,Televoting,5
kyiv-2017,first-semi-final,montenegro,Greece,Televoting,4
kyiv-2017,first-semi-final,montenegro,Sweden,Televoting,3
kyiv-2017,first-semi-final,montenegro,Belgium,Televoting,2
kyiv-2017,first-semi-final,montenegro,Australia,Televoting,1
kyiv-2017,first-semi-final,montenegro,Greece,Jury,12
kyiv-2017,first-semi-final,montenegro,Albania,Jury,10
kyiv-2017,first-semi-final,montenegro,Armenia,Jury,8
kyiv-2017,first-semi-final,montenegro,Azerbaijan,Jury,7
kyiv-2017,first-semi-final,montenegro,Sweden,Jury,6
kyiv-2017,first-semi-final,montenegro,Moldova,Jury,5
kyiv-2017,first-semi-final,montenegro,Portugal,Jury,4
kyiv-2017,first-semi-final,montenegro,Australia,Jury,3
kyiv-2017,first-semi-final,montenegro,Czech Republic,Jury,2
kyiv-2017,first-semi-final,montenegro,Slovenia,Jury,1
kyiv-2017,first-semi-final,poland,Portugal,Televoting,12
kyiv-2017,first-semi-final,poland,Moldova,Televoting,10
kyiv-2017,first-semi-final,poland,Belgium,Televoting,8
kyiv-2017,first-semi-final,poland,Cyprus,Televoting,7
kyiv-2017,first-semi-final,poland,Armenia,Televoting,6
kyiv-2017,first-semi-final,poland,Sweden,Televoting,5
kyiv-2017,first-semi-final,poland,Finland,Televoting,4
kyiv-2017,first-semi-final,poland,Slovenia,Televoting,3
kyiv-2017,first-semi-final,poland,Greece,Televoting,2
kyiv-2017,first-semi-final,poland,Iceland,Televoting,1
kyiv-2017,first-semi-final,poland,Portugal,Jury,12
kyiv-2017,first-semi-final,poland,Georgia,Jury,10
kyiv-2017,first-semi-final,poland,Australia,Jury,8
kyiv-2017,first-semi-final,poland,Belgium,Jury,7
kyiv-2017,first-semi-final,poland,Armenia,Jury,6
kyiv-2017,first-semi-final,poland,Slovenia,Jury,5
kyiv-2017,first-semi-final,poland,Sweden,Jury,4
kyiv-2017,first-semi-final,poland,Czech Republic,Jury,3
kyiv-2017,first-semi-final,poland,Greece,Jury,2
kyiv-2017,first-semi-final,poland,Finland,Jury,1
kyiv-2017,first-semi-final,portugal,Moldova,Televoting,12
kyiv-2017,first-semi-final,portugal,Sweden,Televoting,10
kyiv-2017,first-semi-final,portugal,Belgium,Televoting,8
kyiv-2017,first-semi-final,portugal,Finland,Televoting,7
kyiv-2017,first-semi-final,portugal,Georgia,Televoting,6
kyiv-2017,first-semi-final,portugal,Greece,Televoting,5
kyiv-2017,first-semi-final,portugal,Slovenia,Televoting,4
kyiv-2017,first-semi-final,portugal,Cyprus,Televoting,3
kyiv-2017,first-semi-final,portugal,Czech Republic,Televoting,2
kyiv-2017,first-semi-final,portugal,Azerbaijan,Televoting,1
kyiv-2017,first-semi-final,portugal,Czech Republic,Jury,12
kyiv-2017,first-semi-final,portugal,Moldova,Jury,10
kyiv-2017,first-semi-final,portugal,Azerbaijan,Jury,8
kyiv-2017,first-semi-final,portugal,Finland,Jury,7
kyiv-2017,first-semi-final,portugal,Australia,Jury,6
kyiv-2017,first-semi-final,portugal,Sweden,Jury,5
kyiv-2017,first-semi-final,portugal,Armenia,Jury,4
kyiv-2017,first-semi-final,portugal,Georgia,Jury,3
kyiv-2017,first-semi-final,portugal,Greece,Jury,2
kyiv-2017,first-semi-final,portugal,Poland,Jury,1
kyiv-2017,first-semi-final,slovenia,Portugal,Televoting,12
kyiv-2017,first-semi-final,slovenia,Moldova,Televoting,10
kyiv-2017,first-semi-final,slovenia,Belgium,Televoting,8
kyiv-2017,first-semi-final,slovenia,Azerbaijan,Televoting,7
kyiv-2017,first-semi-final,slovenia,Montenegro,Televoting,6
kyiv-2017,first-semi-final,slovenia,Sweden,Televoting,5
kyiv-2017,first-semi-final,slovenia,Cyprus,Televoting,4
kyiv-2017,first-semi-final,slovenia,Australia,Televoting,3
kyiv-2017,first-semi-final,slovenia,Finland,Televoting,2
kyiv-2017,first-semi-final,slovenia,Albania,Televoting,1
kyiv-2017,first-semi-final,slovenia,Australia,Jury,12
kyiv-2017,first-semi-final,slovenia,Czech Republic,Jury,10
kyiv-2017,first-semi-final,slovenia,Portugal,Jury,8
kyiv-2017,first-semi-final,slovenia,Sweden,Jury,7
kyiv-2017,first-semi-final,slovenia,Finland,Jury,6
kyiv-2017,first-semi-final,slovenia,Georgia,Jury,5
kyiv-2017,first-semi-final,slovenia,Poland,Jury,4
kyiv-2017,first-semi-final,slovenia,Azerbaijan,Jury,3
kyiv-2017,first-semi-final,slovenia,Belgium,Jury,2
kyiv-2017,first-semi-final,slovenia,Armenia,Jury,1
kyiv-2017,first-semi-final,spain,Portugal,Televoting,12
kyiv-2017,first-semi-final,spain,Moldova,Televoting,10
kyiv-2017,first-semi-final,spain,Belgium,Televoting,8
kyiv-2017,first-semi-final,spain,Iceland,Televoting,7
kyiv-2017,first-semi-final,spain,Sweden,Televoting,6
kyiv-2017,first-semi-final,spain,Finland,Televoting,5
kyiv-2017,first-semi-final,spain,Armenia,Televoting,4
kyiv-2017,first-semi-final,spain,Poland,Televoting,3
kyiv-2017,first-semi-final,spain,Latvia,Televoting,2
kyiv-2017,first-semi-final,spain,Montenegro,Televoting,1
kyiv-2017,first-semi-final,spain,Portugal,Jury,12
kyiv-2017,first-semi-final,spain,Czech Republic,Jury,10
kyiv-2017,first-semi-final,spain,Australia,Jury,8
kyiv-2017,first-semi-final,spain,Moldova,Jury,7
kyiv-2017,first-semi-final,spain,Greece,Jury,6
kyiv-2017,first-semi-final,spain,Azerbaijan,Jury,5
kyiv-2017,first-semi-final,spain,Slovenia,Jury,4
kyiv-2017,first-semi-final,spain,Sweden,Jury,3
kyiv-2017,first-semi-final,spain,Belgium,Jury,2
kyiv-2017,first-semi-final,spain,Iceland,Jury,1
kyiv-2017,first-semi-final,sweden,Portugal,Televoting,12
kyiv-2017,first-semi-final,sweden,Belgium,Televoting,10
kyiv-2017,first-semi-final,sweden,Finland,Televoting,8
kyiv-2017,first-semi-final,sweden,Iceland,Televoting,7
kyiv-2017,first-semi-final,sweden,Poland,Televoting,6
kyiv-2017,first-semi-final,sweden,Moldova,Televoting,5
kyiv-2017,first-semi-final,sweden,Cyprus,Televoting,4
kyiv-2017,first-semi-final,sweden,Armenia,Televoting,3
kyiv-2017,first-semi-final,sweden,Australia,Televoting,2
kyiv-2017,first-semi-final,sweden,Montenegro,Televoting,1
kyiv-2017,first-semi-final,sweden,Australia,Jury,12
kyiv-2017,first-semi-final,sweden,Moldova,Jury,10
kyiv-2017,first-semi-final,sweden,Cyprus,Jury,8
kyiv-2017,first-semi-final,sweden,Finland,Jury,7
kyiv-2017,first-semi-final,sweden,Georgia,Jury,6
kyiv-2017,first-semi-final,sweden,Portugal,Jury,5
kyiv-2017,first-semi-final,sweden,Czech Republic,Jury,4
kyiv-2017,first-semi-final,sweden,Belgium,Jury,3
kyiv-2017,first-semi-final,sweden,Iceland,Jury,2
kyiv-2017,first-semi-final,sweden,Slovenia,Jury,1
kyiv-2017,first-semi-final,united-kingdom,Poland,Televoting,12
kyiv-2017,first-semi-final,united-kingdom,Portugal,Televoting,10
kyiv-2017,first-semi-final,united-kingdom,Moldova,Televoting,8
kyiv-2017,first-semi-final,united-kingdom,Latvia,Televoting,7
kyiv-2017,first-semi-final,united-kingdom,Cyprus,Televoting,6
kyiv-2017,first-semi-final,united-kingdom,Greece,Televoting,5
kyiv-2017,first-semi-final,united-kingdom,Belgium,Televoting,4
kyiv-2017,first-semi-final,united-kingdom,Finland,Televoting,3
kyiv-2017,first-semi-final,united-kingdom,Iceland,Televoting,2
kyiv-2017,first-semi-final,united-kingdom,Sweden,Televoting,1
kyiv-2017,first-semi-final,united-kingdom,Moldova,Jury,12
kyiv-2017,first-semi-final,united-kingdom,Portugal,Jury,10
kyiv-2017,first-semi-final,united-kingdom,Czech Republic,Jury,8
kyiv-2017,first-semi-final,united-kingdom,Australia,Jury,7
kyiv-2017,first-semi-final,united-kingdom,Poland,Jury,6
kyiv-2017,first-semi-final,united-kingdom,Armenia,Jury,5
kyiv-2017,first-semi-final,united-kingdom,Belgium,Jury,4
kyiv-2017,first-semi-final,united-kingdom,Cyprus,Jury,3
kyiv-2017,first-semi-final,united-kingdom,Sweden,Jury,2
kyiv-2017,first-semi-final,united-kingdom,Georgia,Jury,1
kyiv-2017,second-semi-final,austria,Hungary,Televoting,12
kyiv-2017,second-semi-final,austria,Croatia,Televoting,10
kyiv-2017,second-semi-final,austria,Bulgaria,Televoting,8
kyiv-2017,second-semi-final,austria,Romania,Televoting,7
kyiv-2017,second-semi-final,austria,Serbia,Televoting,6
kyiv-2017,second-semi-final,austria,Israel,Televoting,5
kyiv-2017,second-semi-final,austria,The Netherlands,Televoting,4
kyiv-2017,second-semi-final,austria,Ireland,Televoting,3
kyiv-2017,second-semi-final,austria,Switzerland,Televoting,2
kyiv-2017,second-semi-final,austria,Belarus,Televoting,1
kyiv-2017,second-semi-final,austria,Bulgaria,Jury,12
kyiv-2017,second-semi-final,austria,Ireland,Jury,10
kyiv-2017,second-semi-final,austria,The Netherlands,Jury,8
kyiv-2017,second-semi-final,austria,Belarus,Jury,7
kyiv-2017,second-semi-final,austria,Malta,Jury,6
kyiv-2017,second-semi-final,austria,Norway,Jury,5
kyiv-2017,second-semi-final,austria,Switzerland,Jury,4
kyiv-2017,second-semi-final,austria,Hungary,Jury,3
kyiv-2017,second-semi-final,austria,Estonia,Jury,2
kyiv-2017,second-semi-final,austria,Croatia,Jury,1
kyiv-2017,second-semi-final,belarus,Bulgaria,Televoting,12
kyiv-2017,second-semi-final,belarus,Hungary,Televoting,10
kyiv-2017,second-semi-final,belarus,Estonia,Televoting,8
kyiv-2017,second-semi-final,belarus,Israel,Televoting,7
kyiv-2017,second-semi-final,belarus,Norway,Televoting,6
kyiv-2017,second-semi-final,belarus,Romania,Televoting,5
kyiv-2017,second-semi-final,belarus,Croatia,Televoting,4
kyiv-2017,second-semi-final,belarus,Ireland,Televoting,3
kyiv-2017,second-semi-final,belarus,Switzerland,Televoting,2
kyiv-2017,second-semi-final,belarus,Lithuania,Televoting,1
kyiv-2017,second-semi-final,belarus,Bulgaria,Jury,12
kyiv-2017,second-semi-final,belarus,Norway,Jury,10
kyiv-2017,second-semi-final,belarus,The Netherlands,Jury,8
kyiv-2017,second-semi-final,belarus,Lithuania,Jury,7
